Read file in one pass,File size is 64Kb,
Open entry,0,
Open exit,30468,30468
Read entry,30658,
Read exit,231204,200546
Set mark entry,231450,
Set mark exit,236002,4552
Close entry,236206,
Close exit,239172,2966
Read file per 512 bytes,File size is 64Kb,
Open entry,0,
Open exit,29970,29970
Read entry,30160,
Read exit,34395,4235
Read entry,34609,
Read exit,41051,6442
Read entry,41264,
Read exit,47705,6441
Read entry,47914,
Read exit,54352,6438
Read entry,54560,
Read exit,61002,6442
Read entry,61211,
Read exit,68134,6923
Read entry,68347,
Read exit,75273,6926
Read entry,75486,
Read exit,82415,6929
Read entry,82628,
Read exit,89555,6927
Read entry,89763,
Read exit,96693,6930
Read entry,96906,
Read exit,103831,6925
Read entry,104040,
Read exit,110965,6925
Read entry,111174,
Read exit,118099,6925
Read entry,118308,
Read exit,125235,6927
Read entry,125444,
Read exit,132374,6930
Read entry,132584,
Read exit,139509,6925
Read entry,139718,
Read exit,146640,6922
Read entry,146849,
Read exit,153772,6923
Read entry,153981,
Read exit,160904,6923
Read entry,161113,
Read exit,168041,6928
Read entry,168250,
Read exit,175176,6926
Read entry,175385,
Read exit,182361,6976
Read entry,182574,
Read exit,189495,6921
Read entry,189704,
Read exit,196630,6926
Read entry,196839,
Read exit,203764,6925
Read entry,203973,
Read exit,210898,6925
Read entry,211107,
Read exit,218035,6928
Read entry,218243,
Read exit,224680,6437
Read entry,224889,
Read exit,231328,6439
Read entry,231537,
Read exit,237974,6437
Read entry,238183,
Read exit,244623,6440
Read entry,244832,
Read exit,251271,6439
Read entry,251479,
Read exit,257920,6441
Read entry,258129,
Read exit,264567,6438
Read entry,264776,
Read exit,271217,6441
Read entry,271426,
Read exit,277868,6442
Read entry,278077,
Read exit,284516,6439
Read entry,284725,
Read exit,291164,6439
Read entry,291373,
Read exit,297814,6441
Read entry,298023,
Read exit,304461,6438
Read entry,304670,
Read exit,311113,6443
Read entry,311322,
Read exit,317759,6437
Read entry,317968,
Read exit,324409,6441
Read entry,324618,
Read exit,331059,6441
Read entry,331267,
Read exit,337765,6498
Read entry,337974,
Read exit,344411,6437
Read entry,344620,
Read exit,351059,6439
Read entry,351267,
Read exit,357708,6441
Read entry,357917,
Read exit,364354,6437
Read entry,364563,
Read exit,371001,6438
Read entry,371210,
Read exit,377648,6438
Read entry,377857,
Read exit,384294,6437
Read entry,384503,
Read exit,390945,6442
Read entry,391154,
Read exit,397592,6438
Read entry,397801,
Read exit,404240,6439
Read entry,404449,
Read exit,410890,6441
Read entry,411099,
Read exit,417539,6440
Read entry,417748,
Read exit,424190,6442
Read entry,424399,
Read exit,430840,6441
Read entry,431048,
Read exit,437490,6442
Read entry,437699,
Read exit,444142,6443
Read entry,444350,
Read exit,450789,6439
Read entry,450998,
Read exit,457436,6438
Read entry,457645,
Read exit,464082,6437
Read entry,464291,
Read exit,470730,6439
Read entry,470939,
Read exit,477378,6439
Read entry,477587,
Read exit,484024,6437
Read entry,484233,
Read exit,490671,6438
Read entry,490880,
Read exit,497319,6439
Read entry,497528,
Read exit,503966,6438
Read entry,504175,
Read exit,510617,6442
Read entry,510826,
Read exit,517267,6441
Read entry,517475,
Read exit,523912,6437
Read entry,524121,
Read exit,530562,6441
Read entry,530770,
Read exit,537213,6443
Read entry,537422,
Read exit,543859,6437
Read entry,544068,
Read exit,550511,6443
Read entry,550720,
Read exit,557160,6440
Read entry,557369,
Read exit,563810,6441
Read entry,564018,
Read exit,570455,6437
Read entry,570664,
Read exit,577104,6440
Read entry,577313,
Read exit,583752,6439
Read entry,583961,
Read exit,590398,6437
Read entry,590607,
Read exit,597050,6443
Read entry,597259,
Read exit,603702,6443
Read entry,603911,
Read exit,610352,6441
Read entry,610561,
Read exit,617000,6439
Read entry,617208,
Read exit,623650,6442
Read entry,623859,
Read exit,630302,6443
Read entry,630511,
Read exit,636950,6439
Read entry,637159,
Read exit,643602,6443
Read entry,643811,
Read exit,650248,6437
Read entry,650457,
Read exit,656896,6439
Read entry,657104,
Read exit,663541,6437
Read entry,663750,
Read exit,670191,6441
Read entry,670399,
Read exit,676837,6438
Read entry,677046,
Read exit,683487,6441
Read entry,683696,
Read exit,690134,6438
Read entry,690343,
Read exit,696782,6439
Read entry,696991,
Read exit,703430,6439
Read entry,703638,
Read exit,710081,6443
Read entry,710289,
Read exit,716731,6442
Read entry,716939,
Read exit,723381,6442
Read entry,723590,
Read exit,730027,6437
Read entry,730236,
Read exit,736675,6439
Read entry,736884,
Read exit,743324,6440
Read entry,743532,
Read exit,749974,6442
Read entry,750183,
Read exit,756625,6442
Read entry,756834,
Read exit,763273,6439
Read entry,763482,
Read exit,769921,6439
Read entry,770130,
Read exit,776573,6443
Read entry,776781,
Read exit,783219,6438
Read entry,783428,
Read exit,789870,6442
Read entry,790079,
Read exit,796520,6441
Read entry,796729,
Read exit,803171,6442
Read entry,803380,
Read exit,809817,6437
Read entry,810026,
Read exit,816464,6438
Read entry,816673,
Read exit,823114,6441
Read entry,823322,
Read exit,829764,6442
Read entry,829973,
Read exit,836414,6441
Read entry,836623,
Read exit,843061,6438
Read entry,843270,
Read exit,849709,6439
Read entry,849918,
Read exit,856357,6439
Read entry,856566,
Read exit,863008,6442
Read entry,863216,
Read exit,869654,6438
Read entry,869863,
Read exit,876302,6439
Read entry,876511,
Read exit,882948,6437
Read entry,883157,
Read exit,889608,6451
Read entry,889817,
Read exit,892162,2345
min,2345,
max,6976,
Set mark entry,892452,
Set mark exit,897001,4549
Close entry,897205,
Close exit,900171,2966
Read file block-by-block,File size is 64Kb,
Open entry,0,
Open exit,68272,68272
Block read entry,68541,
Block read exit,76501,7960
Block read entry,77291,
Block read exit,85251,7960
Block read entry,85551,
Block read exit,93511,7960
Block read entry,93811,
Block read exit,101771,7960
Block read entry,102071,
Block read exit,110030,7959
Block read entry,110332,
Block read exit,118294,7962
Block read entry,118597,
Block read exit,127043,8446
Block read entry,127346,
Block read exit,135794,8448
Block read entry,136097,
Block read exit,144544,8447
Block read entry,144843,
Block read exit,153289,8446
Block read entry,153588,
Block read exit,162036,8448
Block read entry,162336,
Block read exit,170296,7960
Block read entry,170595,
Block read exit,178555,7960
Block read entry,179338,
Block read exit,187298,7960
Block read entry,187597,
Block read exit,195558,7961
Block read entry,195857,
Block read exit,203817,7960
Block read entry,204116,
Block read exit,212076,7960
Block read entry,212375,
Block read exit,220821,8446
Block read entry,221120,
Block read exit,229564,8444
Block read entry,229863,
Block read exit,238313,8450
Block read entry,238616,
Block read exit,247060,8444
Block read entry,247359,
Block read exit,255807,8448
Block read entry,256106,
Block read exit,264068,7962
Block read entry,264367,
Block read exit,272327,7960
Block read entry,272626,
Block read exit,280587,7961
Block read entry,280886,
Block read exit,288847,7961
Block read entry,289146,
Block read exit,297107,7961
Block read entry,297406,
Block read exit,305851,8445
Block read entry,306150,
Block read exit,314599,8449
