Read file in one pass,File size is 256Kb,
Open entry,0,
Open exit,32306,32306
Read entry,32496,
Read exit,817966,785470
Set mark entry,818212,
Set mark exit,824987,6775
Close entry,825191,
Close exit,828154,2963
Read file per 512 bytes,File size is 256Kb,
Open entry,0,
Open exit,32313,32313
Read entry,32503,
Read exit,36725,4222
Read entry,36938,
Read exit,43851,6913
Read entry,44064,
Read exit,50976,6912
Read entry,51184,
Read exit,58099,6915
Read entry,58312,
Read exit,64741,6429
Read entry,64950,
Read exit,71376,6426
Read entry,71584,
Read exit,78014,6430
Read entry,78223,
Read exit,84652,6429
Read entry,84861,
Read exit,91284,6423
Read entry,91493,
Read exit,97918,6425
Read entry,98610,
Read exit,105035,6425
Read entry,105244,
Read exit,111668,6424
Read entry,111877,
Read exit,118307,6430
Read entry,118515,
Read exit,124946,6431
Read entry,125155,
Read exit,131582,6427
Read entry,131791,
Read exit,138221,6430
Read entry,138429,
Read exit,144854,6425
Read entry,145062,
Read exit,151492,6430
Read entry,151701,
Read exit,158126,6425
Read entry,158335,
Read exit,164760,6425
Read entry,164968,
Read exit,171397,6429
Read entry,171606,
Read exit,178037,6431
Read entry,178246,
Read exit,184674,6428
Read entry,184883,
Read exit,191312,6429
Read entry,191520,
Read exit,197946,6426
Read entry,198155,
Read exit,204584,6429
Read entry,204792,
Read exit,211219,6427
Read entry,211428,
Read exit,217858,6430
Read entry,218067,
Read exit,224493,6426
Read entry,224702,
Read exit,231129,6427
Read entry,231338,
Read exit,237764,6426
Read entry,237973,
Read exit,244401,6428
Read entry,244610,
Read exit,251035,6425
Read entry,251244,
Read exit,257674,6430
Read entry,257883,
Read exit,264314,6431
Read entry,264523,
Read exit,270949,6426
Read entry,271158,
Read exit,277588,6430
Read entry,277797,
Read exit,284226,6429
Read entry,284435,
Read exit,290860,6425
Read entry,291068,
Read exit,297493,6425
Read entry,297702,
Read exit,304131,6429
Read entry,304339,
Read exit,310824,6485
Read entry,311033,
Read exit,317462,6429
Read entry,317671,
Read exit,324097,6426
Read entry,324306,
Read exit,330732,6426
Read entry,330940,
Read exit,337367,6427
Read entry,337575,
Read exit,344003,6428
Read entry,344212,
Read exit,350636,6424
Read entry,350845,
Read exit,357274,6429
Read entry,357483,
Read exit,363910,6427
Read entry,364119,
Read exit,370545,6426
Read entry,370754,
Read exit,377179,6425
Read entry,377388,
Read exit,383817,6429
Read entry,384026,
Read exit,390451,6425
Read entry,390660,
Read exit,397088,6428
Read entry,397297,
Read exit,403727,6430
Read entry,403936,
Read exit,410365,6429
Read entry,410574,
Read exit,417004,6430
Read entry,417213,
Read exit,423640,6427
Read entry,423849,
Read exit,430275,6426
Read entry,430484,
Read exit,436914,6430
Read entry,437123,
Read exit,443549,6426
Read entry,443757,
Read exit,450182,6425
Read entry,450391,
Read exit,456817,6426
Read entry,457026,
Read exit,463455,6429
Read entry,463663,
Read exit,470092,6429
Read entry,470301,
Read exit,476730,6429
Read entry,476938,
Read exit,483367,6429
Read entry,483576,
Read exit,490006,6430
Read entry,490214,
Read exit,496642,6428
Read entry,496851,
Read exit,503275,6424
Read entry,503484,
Read exit,509914,6430
Read entry,510123,
Read exit,516550,6427
Read entry,516758,
Read exit,523184,6426
Read entry,523393,
Read exit,529823,6430
Read entry,530031,
Read exit,536457,6426
Read entry,536666,
Read exit,543095,6429
Read entry,543304,
Read exit,549730,6426
Read entry,549938,
Read exit,556363,6425
Read entry,556572,
Read exit,562998,6426
Read entry,563206,
Read exit,569633,6427
Read entry,569842,
Read exit,576266,6424
Read entry,576475,
Read exit,582904,6429
Read entry,583113,
Read exit,589543,6430
Read entry,589752,
Read exit,596182,6430
Read entry,596391,
Read exit,602817,6426
Read entry,603026,
Read exit,609451,6425
Read entry,609660,
Read exit,616089,6429
Read entry,616297,
Read exit,622725,6428
Read entry,622934,
Read exit,629364,6430
Read entry,629573,
Read exit,636002,6429
Read entry,636211,
Read exit,642641,6430
Read entry,642850,
Read exit,649275,6425
Read entry,649484,
Read exit,655910,6426
Read entry,656119,
Read exit,662544,6425
Read entry,662753,
Read exit,669178,6425
Read entry,669387,
Read exit,675816,6429
Read entry,676025,
Read exit,682449,6424
Read entry,682658,
Read exit,689080,6422
Read entry,689289,
Read exit,695720,6431
Read entry,695929,
Read exit,702357,6428
Read entry,702566,
Read exit,709480,6914
Read entry,709689,
Read exit,716602,6913
Read entry,716811,
Read exit,723718,6907
Read entry,723927,
Read exit,730839,6912
Read entry,731048,
Read exit,737961,6913
Read entry,738169,
Read exit,745087,6918
Read entry,745300,
Read exit,752214,6914
Read entry,752423,
Read exit,759338,6915
Read entry,759546,
Read exit,766461,6915
Read entry,766670,
Read exit,773581,6911
Read entry,773790,
Read exit,780703,6913
Read entry,780912,
Read exit,787823,6911
Read entry,788032,
Read exit,794947,6915
Read entry,795156,
Read exit,802074,6918
Read entry,802283,
Read exit,809193,6910
Read entry,809402,
Read exit,816316,6914
Read entry,816525,
Read exit,823439,6914
Read entry,823648,
Read exit,830562,6914
Read entry,830771,
Read exit,837682,6911
Read entry,837891,
Read exit,844806,6915
Read entry,845015,
Read exit,851928,6913
Read entry,852137,
Read exit,859054,6917
Read entry,859262,
Read exit,866175,6913
Read entry,866384,
Read exit,873300,6916
Read entry,873509,
Read exit,880426,6917
Read entry,880635,
Read exit,887543,6908
Read entry,887752,
Read exit,894667,6915
Read entry,894876,
Read exit,901789,6913
Read entry,901997,
Read exit,908907,6910
Read entry,909116,
Read exit,916029,6913
Read entry,916237,
Read exit,923155,6918
Read entry,923364,
Read exit,930273,6909
Read entry,930482,
Read exit,937401,6919
Read entry,937614,
Read exit,944524,6910
Read entry,944732,
Read exit,951643,6911
Read entry,951852,
Read exit,958765,6913
Read entry,958974,
Read exit,965887,6913
Read entry,966096,
Read exit,973009,6913
Read entry,973218,
Read exit,980181,6963
Read entry,980394,
Read exit,987304,6910
Read entry,987513,
Read exit,994426,6913
Read entry,994635,
Read exit,1001545,6910
Read entry,1001754,
Read exit,1008183,6429
Read entry,1008392,
Read exit,1014821,6429
Read entry,1015030,
Read exit,1021455,6425
Read entry,1021664,
Read exit,1028092,6428
Read entry,1028301,
Read exit,1034729,6428
Read entry,1034937,
Read exit,1041362,6425
Read entry,1041571,
Read exit,1047998,6427
Read entry,1048207,
