Read file in one pass,File size is 128Kb
Open entry,00000000
Open exit,00007161
Read entry,0000721F
Read exit,00067B6B
Set mark entry,00067C60
Set mark exit,00068E2B
Close entry,00068EF7
Close exit,00069A3F
Read file per 512 bytes,File size is 128Kb
Open entry,00000000
Open exit,00007378
Read entry,00007436
Read exit,000084C2
Read entry,0000857D
Read exit,00009EA5
Read entry,00009F60
Read exit,0000BA90
Read entry,0000BB4B
Read exit,0000D472
Read entry,0000D52D
Read exit,0000F05C
Read entry,0000F117
Read exit,00010A3D
Read entry,00010AF8
Read exit,00012628
Read entry,000126E3
Read exit,0001400A
Read entry,000140C5
Read exit,00015BF9
Read entry,00015CB4
Read exit,000175DC
Read entry,00017697
Read exit,000191C7
Read entry,00019282
Read exit,0001ABA8
Read entry,0001AC63
Read exit,0001C793
Read entry,0001C84E
Read exit,0001E176
Read entry,0001E231
Read exit,0001FD61
Read entry,0001FE1C
Read exit,00021743
Read entry,000217FE
Read exit,0002332D
Read entry,000233E8
Read exit,00024D10
Read entry,00024DCB
Read exit,000268FA
Read entry,000269B5
Read exit,000282DD
Read entry,00028398
Read exit,00029EC8
Read entry,00029F83
Read exit,0002B8AE
Read entry,0002B969
Read exit,0002D49D
Read entry,0002D558
Read exit,0002EE80
Read entry,0002EF3B
Read exit,00030A67
Read entry,00030B22
Read exit,00032446
Read entry,00032501
Read exit,00034034
Read entry,000340EF
Read exit,00035A16
Read entry,00035AD1
Read exit,00037601
Read entry,000376BC
Read exit,00038FE2
Read entry,0003909D
Read exit,0003ABCD
Read entry,0003AC88
Read exit,0003C5B4
Read entry,0003C66F
Read exit,0003E19F
Read entry,0003E25A
Read exit,0003FB80
Read entry,0003FC3B
Read exit,00041769
Read entry,00041824
Read exit,0004314C
Read entry,00043207
Read exit,00044D34
Read entry,00044DEF
Read exit,00046717
Read entry,000467D2
Read exit,000482FF
Read entry,000483BA
Read exit,00049CE0
Read entry,00049D9B
Read exit,0004B8C6
Read entry,0004B981
Read exit,0004D2A8
Read entry,0004D363
Read exit,0004EE96
Read entry,0004EF51
Read exit,000508B4
Read entry,0005096F
Read exit,0005249F
Read entry,0005255A
Read exit,00053E82
Read entry,00053F3D
Read exit,00055A6D
Read entry,00055B28
Read exit,0005744C
Read entry,00057507
Read exit,00059036
Read entry,000590F1
Read exit,0005AA1A
Read entry,0005AAD5
Read exit,0005C601
Read entry,0005C6BC
Read exit,0005DFE2
Read entry,0005E09D
Read exit,0005FBCD
Read entry,0005FC88
Read exit,000615AC
Read entry,00061667
Read exit,00063197
Read entry,00063252
Read exit,00064B75
Read entry,00064C30
Read exit,00066796
Read entry,00066851
Read exit,00068179
Read entry,00068234
Read exit,00069D62
Read entry,00069E1D
Read exit,0006B745
Read entry,0006B800
Read exit,0006D32B
Read entry,0006D3E6
Read exit,0006ED12
Read entry,0006EDCD
Read exit,000708FB
Read entry,000709B6
Read exit,000722DE
Read entry,00072399
Read exit,00073ECC
Read entry,00073F87
Read exit,000758AE
Read entry,00075969
