Read file in one pass,File size is 256Kb,
Open entry,0,
Open exit,129855,129855
Read entry,130045,
Read exit,9773188,9643143
Set mark entry,9773434,
Set mark exit,9831082,57648
Close entry,9831286,
Close exit,9834174,2888
Read file per 512 bytes,File size is 256Kb,
Open entry,0,
Open exit,90363,90363
Read entry,90553,
Read exit,94775,4222
Read entry,94988,
Read exit,129048,34060
Read entry,129261,
Read exit,154090,24829
Read entry,154299,
Read exit,179293,24994
Read entry,179502,
Read exit,204486,24984
Read entry,204695,
Read exit,229148,24453
Read entry,229357,
Read exit,253803,24446
Read entry,254012,
Read exit,281031,27019
Read entry,281240,
Read exit,305211,23971
Read entry,305419,
Read exit,330056,24637
Read entry,330265,
Read exit,354896,24631
Read entry,355105,
Read exit,379725,24620
Read entry,379934,
Read exit,404373,24439
Read entry,404582,
Read exit,429021,24439
Read entry,429230,
Read exit,453665,24435
Read entry,453873,
Read exit,481455,27582
Read entry,481664,
Read exit,505871,24207
Read entry,506080,
Read exit,530290,24210
Read entry,530499,
Read exit,554715,24216
Read entry,554923,
Read exit,579130,24207
Read entry,579339,
Read exit,603557,24218
Read entry,603765,
Read exit,628474,24709
Read entry,628683,
Read exit,653040,24357
Read entry,653248,
Read exit,680993,27745
Read entry,681201,
Read exit,705672,24471
Read entry,705881,
Read exit,730141,24260
Read entry,730350,
Read exit,754717,24367
Read entry,755413,
Read exit,779798,24385
Read entry,780007,
Read exit,804446,24439
Read entry,804655,
Read exit,829111,24456
Read entry,829320,
Read exit,853787,24467
Read entry,853995,
Read exit,881986,27991
Read entry,882195,
Read exit,907105,24910
Read entry,907313,
Read exit,932325,25012
Read entry,932534,
Read exit,957286,24752
Read entry,957495,
Read exit,982218,24723
Read entry,982427,
Read exit,1007158,24731
Read entry,1007367,
Read exit,1032096,24729
Read entry,1032304,
Read exit,1057552,25248
Read entry,1057761,
Read exit,1085420,27659
Read entry,1085629,
Read exit,1109870,24241
Read entry,1110079,
Read exit,1134325,24246
Read entry,1134534,
Read exit,1158812,24278
Read entry,1159020,
Read exit,1183305,24285
Read entry,1183514,
Read exit,1208473,24959
Read entry,1208682,
Read exit,1233396,24714
Read entry,1233605,
Read exit,1258339,24734
Read entry,1258548,
Read exit,1285941,27393
Read entry,1286150,
Read exit,1310655,24505
Read entry,1310864,
Read exit,1335844,24980
Read entry,1336053,
Read exit,1361096,25043
Read entry,1361305,
Read exit,1386187,24882
Read entry,1386396,
Read exit,1410532,24136
Read entry,1410740,
Read exit,1434899,24159
Read entry,1435108,
Read exit,1459146,24038
Read entry,1459355,
Read exit,1487092,27737
Read entry,1487301,
Read exit,1512009,24708
Read entry,1512217,
Read exit,1537304,25087
Read entry,1537513,
Read exit,1562158,24645
Read entry,1562366,
Read exit,1586651,24285
Read entry,1586860,
Read exit,1611152,24292
Read entry,1611360,
Read exit,1636138,24778
Read entry,1636347,
Read exit,1661170,24823
Read entry,1661379,
Read exit,1689351,27972
Read entry,1689560,
Read exit,1713848,24288
Read entry,1714057,
Read exit,1738498,24441
Read entry,1738706,
Read exit,1763217,24511
Read entry,1763426,
Read exit,1788546,25120
Read entry,1788755,
Read exit,1813767,25012
Read entry,1813976,
Read exit,1838763,24787
Read entry,1838972,
Read exit,1863508,24536
Read entry,1863717,
Read exit,1890645,26928
Read entry,1890854,
Read exit,1915227,24373
Read entry,1915436,
Read exit,1939885,24449
Read entry,1940094,
Read exit,1964520,24426
Read entry,1964729,
Read exit,1988676,23947
Read entry,1988885,
Read exit,2012941,24056
Read entry,2013149,
Read exit,2037200,24051
Read entry,2037409,
Read exit,2061461,24052
Read entry,2061670,
Read exit,2089249,27579
Read entry,2089458,
Read exit,2113571,24113
Read entry,2113779,
Read exit,2138384,24605
Read entry,2138593,
Read exit,2162681,24088
Read entry,2162890,
Read exit,2186989,24099
Read entry,2187197,
Read exit,2211413,24216
Read entry,2211622,
Read exit,2235831,24209
Read entry,2236040,
Read exit,2260803,24763
Read entry,2261012,
Read exit,2288742,27730
Read entry,2288951,
Read exit,2313271,24320
Read entry,2313480,
Read exit,2337950,24470
Read entry,2338159,
Read exit,2362682,24523
Read entry,2362891,
Read exit,2387837,24946
Read entry,2388046,
Read exit,2413074,25028
Read entry,2413283,
Read exit,2438234,24951
Read entry,2438443,
Read exit,2463012,24569
Read entry,2463220,
Read exit,2490826,27606
Read entry,2491035,
Read exit,2516086,25051
Read entry,2516295,
Read exit,2541520,25225
Read entry,2541729,
Read exit,2566679,24950
Read entry,2566888,
Read exit,2591617,24729
Read entry,2591826,
Read exit,2616723,24897
Read entry,2616932,
Read exit,2641654,24722
Read entry,2641863,
Read exit,2667129,25266
Read entry,2667338,
Read exit,2694945,27607
Read entry,2695154,
Read exit,2719492,24338
Read entry,2719701,
Read exit,2744045,24344
Read entry,2744254,
Read exit,2768595,24341
Read entry,2768804,
Read exit,2793787,24983
Read entry,2793996,
Read exit,2818877,24881
Read entry,2819086,
Read exit,2843803,24717
Read entry,2844012,
Read exit,2868031,24019
Read entry,2868239,
Read exit,2895402,27163
Read entry,2895611,
Read exit,2919485,23874
Read entry,2919694,
Read exit,2944232,24538
Read entry,2944441,
Read exit,2969049,24608
Read entry,2969258,
Read exit,2994297,25039
Read entry,2994506,
Read exit,3019066,24560
Read entry,3019275,
Read exit,3043450,24175
Read entry,3043658,
Read exit,3067794,24136
Read entry,3068003,
Read exit,3095815,27812
Read entry,3096024,
Read exit,3120705,24681
Read entry,3120914,
Read exit,3145577,24663
Read entry,3145786,
Read exit,3170231,24445
Read entry,3170440,
Read exit,3194724,24284
Read entry,3194933,
Read exit,3219281,24348
Read entry,3219490,
Read exit,3243949,24459
Read entry,3244158,
Read exit,3269120,24962
Read entry,3269328,
Read exit,3297323,27995
Read entry,3297532,
Read exit,3321902,24370
Read entry,3322111,
Read exit,3346649,24538
Read entry,3346858,
Read exit,3371399,24541
Read entry,3371608,
Read exit,3396634,25026
Read entry,3396843,
Read exit,3421759,24916
Read entry,3421968,
Read exit,3446893,24925
Read entry,3447102,
Read exit,3471650,24548
Read entry,3471859,
Read exit,3498785,26926
Read entry,3498993,
Read exit,3523532,24539
Read entry,3523741,
Read exit,3548285,24544
Read entry,3548493,
Read exit,3572595,24102
Read entry,3572804,
Read exit,3597250,24446
Read entry,3597459,
Read exit,3621390,23931
Read entry,3621599,
Read exit,3645544,23945
Read entry,3645753,
Read exit,3669814,24061
Read entry,3670022,
Read exit,3697606,27584
Read entry,3697815,
Read exit,3722480,24665
Read entry,3722689,
Read exit,3747429,24740
Read entry,3747638,
Read exit,3771945,24307
Read entry,3772154,
Read exit,3796470,24316
Read entry,3796678,
Read exit,3821051,24373
Read entry,3821260,
Read exit,3845730,24470
Read entry,3845939,
Read exit,3870820,24881
Read entry,3871029,
Read exit,3898869,27840
Read entry,3899078,
Read exit,3923491,24413
Read entry,3923700,
Read exit,3948269,24569
Read entry,3948477,
Read exit,3973049,24572
Read entry,3973257,
Read exit,3998475,25218
Read entry,3998684,
Read exit,4023630,24946
Read entry,4023839,
Read exit,4048807,24968
Read entry,4049016,
Read exit,4073571,24555
Read entry,4073780,
Read exit,4101389,27609
Read entry,4101597,
Read exit,4126718,25121
Read entry,4126927,
Read exit,4152128,25201
Read entry,4152337,
Read exit,4177542,25205
