Read file in one pass,File size is 128Kb,
Open entry,0,
Open exit,106169,106169
Read entry,106359,
Read exit,4899033,4792674
Set mark entry,4899279,
Set mark exit,4930808,31529
Close entry,4931012,
Close exit,4933900,2888
Read file per 512 bytes,File size is 128Kb,
Open entry,0,
Open exit,83803,83803
Read entry,83993,
Read exit,88718,4725
Read entry,88931,
Read exit,120914,31983
Read entry,121127,
Read exit,145587,24460
Read entry,145796,
Read exit,170256,24460
Read entry,170465,
Read exit,194920,24455
Read entry,195128,
Read exit,219587,24459
Read entry,219795,
Read exit,244358,24563
Read entry,244567,
Read exit,271659,27092
Read entry,271867,
Read exit,296284,24417
Read entry,296492,
Read exit,320831,24339
Read entry,321040,
Read exit,345404,24364
Read entry,345613,
Read exit,370029,24416
Read entry,370238,
Read exit,394211,23973
Read entry,394420,
Read exit,418541,24121
Read entry,418750,
Read exit,442818,24068
Read entry,443027,
Read exit,470141,27114
Read entry,470350,
Read exit,494582,24232
Read entry,494790,
Read exit,519174,24384
Read entry,519382,
Read exit,544106,24724
Read entry,544315,
Read exit,569035,24720
Read entry,569244,
Read exit,593964,24720
Read entry,594172,
Read exit,618781,24609
Read entry,618989,
Read exit,643602,24613
Read entry,643811,
Read exit,671562,27751
Read entry,671770,
Read exit,696070,24300
Read entry,696278,
Read exit,720752,24474
Read entry,720961,
Read exit,745015,24054
Read entry,745224,
Read exit,769766,24542
Read entry,769974,
Read exit,794849,24875
Read entry,795058,
Read exit,820017,24959
Read entry,820226,
Read exit,845192,24966
Read entry,845401,
Read exit,873412,28011
Read entry,873621,
Read exit,898102,24481
Read entry,898798,
Read exit,923336,24538
Read entry,923545,
Read exit,948098,24553
Read entry,948307,
Read exit,973040,24733
Read entry,973249,
Read exit,997990,24741
Read entry,998198,
Read exit,1023431,25233
Read entry,1023640,
Read exit,1048768,25128
Read entry,1048977,
Read exit,1076639,27662
Read entry,1076848,
Read exit,1100943,24095
Read entry,1101151,
Read exit,1125419,24268
Read entry,1125628,
Read exit,1150365,24737
Read entry,1150574,
Read exit,1175365,24791
Read entry,1175573,
Read exit,1200479,24906
Read entry,1200688,
Read exit,1225036,24348
Read entry,1225245,
Read exit,1249763,24518
Read entry,1249972,
Read exit,1277360,27388
Read entry,1277569,
Read exit,1302565,24996
Read entry,1302774,
Read exit,1327721,24947
Read entry,1327930,
Read exit,1352820,24890
Read entry,1353029,
Read exit,1377701,24672
Read entry,1377910,
Read exit,1402538,24628
Read entry,1402747,
Read exit,1427045,24298
Read entry,1427253,
Read exit,1451920,24667
Read entry,1452129,
Read exit,1479955,27826
Read entry,1480164,
Read exit,1504305,24141
Read entry,1504514,
Read exit,1528845,24331
Read entry,1529054,
Read exit,1553346,24292
Read entry,1553554,
Read exit,1577843,24289
Read entry,1578052,
Read exit,1602839,24787
Read entry,1603048,
Read exit,1627734,24686
Read entry,1627943,
Read exit,1652626,24683
Read entry,1652835,
Read exit,1680326,27491
Read entry,1680535,
Read exit,1704993,24458
Read entry,1705201,
Read exit,1729904,24703
Read entry,1730113,
Read exit,1755026,24913
Read entry,1755235,
Read exit,1780199,24964
Read entry,1780408,
Read exit,1804873,24465
Read entry,1805082,
Read exit,1829651,24569
Read entry,1829860,
Read exit,1854415,24555
Read entry,1854624,
Read exit,1882210,27586
Read entry,1882419,
Read exit,1906706,24287
Read entry,1906915,
Read exit,1931377,24462
Read entry,1931586,
Read exit,1955652,24066
Read entry,1955860,
Read exit,1979935,24075
Read entry,1980144,
Read exit,2004214,24070
Read entry,2004423,
Read exit,2028493,24070
Read entry,2028702,
Read exit,2053414,24712
Read entry,2053623,
Read exit,2081214,27591
Read entry,2081423,
Read exit,2105653,24230
Read entry,2105862,
Read exit,2130071,24209
Read entry,2130280,
Read exit,2154567,24287
Read entry,2154776,
Read exit,2179092,24316
Read entry,2179300,
Read exit,2203682,24382
Read entry,2203890,
Read exit,2228669,24779
Read entry,2228878,
Read exit,2253483,24605
Read entry,2253692,
Read exit,2281215,27523
Read entry,2281424,
Read exit,2305901,24477
Read entry,2306110,
Read exit,2331072,24962
Read entry,2331281,
Read exit,2356256,24975
Read entry,2356465,
Read exit,2381385,24920
Read entry,2381594,
Read exit,2406148,24554
Read entry,2406357,
Read exit,2430940,24583
Read entry,2431149,
Read exit,2455721,24572
Read entry,2455930,
Read exit,2484034,28104
Read entry,2484243,
Read exit,2509215,24972
Read entry,2509424,
Read exit,2534166,24742
Read entry,2534375,
Read exit,2559118,24743
Read entry,2559327,
Read exit,2584071,24744
Read entry,2584280,
Read exit,2609503,25223
Read entry,2609711,
Read exit,2634946,25235
Read entry,2635155,
Read exit,2660339,25184
Read entry,2660548,
Read exit,2687772,27224
Read entry,2687981,
Read exit,2712172,24191
Read entry,2712381,
Read exit,2736743,24362
Read entry,2736952,
Read exit,2761959,25007
Read entry,2762168,
Read exit,2786968,24800
Read entry,2787177,
Read exit,2811423,24246
Read entry,2811632,
Read exit,2835983,24351
Read entry,2836191,
Read exit,2860532,24341
Read entry,2860741,
Read exit,2888402,27661
Read entry,2888610,
Read exit,2913133,24523
Read entry,2913342,
Read exit,2938022,24680
Read entry,2938231,
Read exit,2962370,24139
Read entry,2962579,
Read exit,2986727,24148
Read entry,2986936,
Read exit,3011241,24305
Read entry,3011450,
Read exit,3035589,24139
Read entry,3035798,
Read exit,3060427,24629
Read entry,3060635,
Read exit,3088470,27835
Read entry,3088679,
Read exit,3112988,24309
Read entry,3113197,
Read exit,3137663,24466
Read entry,3137872,
Read exit,3162170,24298
Read entry,3162379,
Read exit,3186424,24045
Read entry,3186633,
Read exit,3211422,24789
Read entry,3211631,
Read exit,3236274,24643
Read entry,3236483,
Read exit,3261313,24830
Read entry,3261521,
Read exit,3289083,27562
Read entry,3289291,
Read exit,3313685,24394
Read entry,3313894,
Read exit,3338929,25035
Read entry,3339138,
Read exit,3364179,25041
Read entry,3364388,
Read exit,3389319,24931
Read entry,3389528,
Read exit,3414238,24710
Read entry,3414447,
Read exit,3438992,24545
Read entry,3439201,
Read exit,3463754,24553
Read entry,3463963,
Read exit,3491406,27443
Read entry,3491615,
Read exit,3515911,24296
Read entry,3516120,
Read exit,3540081,23961
Read entry,3540290,
Read exit,3564353,24063
Read entry,3565050,
Read exit,3588945,23895
Read entry,3589154,
Read exit,3613270,24116
Read entry,3613479,
Read exit,3637640,24161
Read entry,3637849,
Read exit,3662077,24228
Read entry,3662286,
Read exit,3690041,27755
Read entry,3690250,
Read exit,3714315,24065
Read entry,3714524,
Read exit,3738849,24325
Read entry,3739057,
Read exit,3763378,24321
Read entry,3763587,
Read exit,3787911,24324
Read entry,3788120,
Read exit,3813081,24961
Read entry,3813290,
Read exit,3838046,24756
Read entry,3838255,
Read exit,3863191,24936
Read entry,3863399,
Read exit,3890863,27464
Read entry,3891071,
Read exit,3915548,24477
Read entry,3915757,
Read exit,3940992,25235
Read entry,3941201,
Read exit,3966166,24965
Read entry,3966375,
Read exit,3991334,24959
Read entry,3991543,
Read exit,4016114,24571
Read entry,4016323,
Read exit,4040899,24576
Read entry,4041108,
Read exit,4065688,24580
Read entry,4065896,
Read exit,4094000,28104
Read entry,4094209,
Read exit,4119395,25186
Read entry,4119604,
Read exit,4144431,24827
Read entry,4144640,
Read exit,4169309,24669
Read entry,4169518,
Read exit,4194348,24830
Read entry,4194556,
Read exit,4220030,25474
Read entry,4220238,
Read exit,4245509,25271
Read entry,4245718,
Read exit,4270556,24838
Read entry,4270765,
Read exit,4297996,27231
Read entry,4298205,
Read exit,4322393,24188
Read entry,4322602,
Read exit,4347058,24456
Read entry,4347267,
Read exit,4371620,24353
Read entry,4371828,
Read exit,4396192,24364
Read entry,4396401,
Read exit,4420387,23986
Read entry,4420596,
Read exit,4444742,24146
Read entry,4444950,
Read exit,4468940,23990
Read entry,4469149,
Read exit,4496649,27500
Read entry,4496858,
Read exit,4521496,24638
Read entry,4521705,
Read exit,4546226,24521
Read entry,4546435,
Read exit,4570580,24145
Read entry,4570789,
Read exit,4594932,24143
Read entry,4595141,
Read exit,4619277,24136
Read entry,4619486,
Read exit,4643374,23888
Read entry,4643583,
Read exit,4667682,24099
Read entry,4667891,
Read exit,4695528,27637
Read entry,4695737,
Read exit,4719769,24032
Read entry,4719978,
Read exit,4744331,24353
Read entry,4744539,
Read exit,4768935,24396
Read entry,4769143,
Read exit,4793528,24385
Read entry,4793736,
Read exit,4818620,24884
Read entry,4818828,
Read exit,4843704,24876
Read entry,4843913,
Read exit,4868671,24758
Read entry,4868880,
Read exit,4896301,27421
Read entry,4896510,
Read exit,4920904,24394
Read entry,4921113,
Read exit,4946149,25036
Read entry,4946358,
Read exit,4971390,25032
Read entry,4971598,
Read exit,4996528,24930
Read entry,4996736,
Read exit,5021284,24548
Read entry,5021493,
Read exit,5045869,24376
Read entry,5046078,
Read exit,5070686,24608
Read entry,5070895,
Read exit,5098425,27530
Read entry,5098634,
Read exit,5122590,23956
Read entry,5122798,
Read exit,5147242,24444
Read entry,5147451,
Read exit,5171522,24071
Read entry,5171731,
Read exit,5195884,24153
Read entry,5196093,
Read exit,5220246,24153
Read entry,5220455,
Read exit,5244771,24316
Read entry,5244980,
Read exit,5269626,24646
Read entry,5269834,
Read exit,5297796,27962
Read entry,5298005,
Read exit,5322399,24394
Read entry,5322607,
Read exit,5347024,24417
Read entry,5347233,
Read exit,5371657,24424
Read entry,5371866,
Read exit,5396298,24432
Read entry,5396507,
Read exit,5421406,24899
Read entry,5421615,
Read exit,5446417,24802
Read entry,5446626,
Read exit,5471094,24468
Read entry,5471303,
Read exit,5498757,27454
Read entry,5498966,
Read exit,5523704,24738
Read entry,5523912,
Read exit,5548975,25063
Read entry,5549184,
Read exit,5574209,25025
Read entry,5574418,
Read exit,5598981,24563
Read entry,5599190,
Read exit,5623857,24667
Read entry,5624066,
Read exit,5648902,24836
Read entry,5649111,
Read exit,5673778,24667
Read entry,5673987,
Read exit,5702247,28260
Read entry,5702456,
Read exit,5727128,24672
Read entry,5727336,
Read exit,5752169,24833
Read entry,5752378,
Read exit,5777213,24835
Read entry,5777422,
Read exit,5802373,24951
Read entry,5802582,
Read exit,5827530,24948
Read entry,5827739,
Read exit,5852579,24840
Read entry,5852787,
Read exit,5877399,24612
Read entry,5877608,
Read exit,5904459,26851
Read entry,5904668,
Read exit,5928653,23985
Read entry,5928861,
Read exit,5953339,24478
Read entry,5953548,
Read exit,5978021,24473
Read entry,5978230,
Read exit,6002649,24419
Read entry,6002858,
Read exit,6026730,23872
Read entry,6026939,
Read exit,6051084,24145
Read entry,6051293,
Read exit,6075274,23981
Read entry,6075483,
Read exit,6103066,27583
Read entry,6103275,
Read exit,6127862,24587
Read entry,6128071,
Read exit,6152565,24494
Read entry,6152774,
Read exit,6177300,24526
Read entry,6177508,
Read exit,6201709,24201
Read entry,6201918,
Read exit,6226146,24228
Read entry,6226355,
Read exit,6250583,24228
Read entry,6250792,
Read exit,6275028,24236
Read entry,6275237,
Read exit,6303157,27920
Read entry,6303366,
Read exit,6327594,24228
Read entry,6327803,
Read exit,6352193,24390
Read entry,6352402,
Read exit,6376781,24379
Read entry,6376990,
Read exit,6401377,24387
Read entry,6401586,
Read exit,6426461,24875
Read entry,6426670,
Read exit,6451443,24773
Read entry,6451652,
Read exit,6476582,24930
Read entry,6476791,
Read exit,6504216,27425
Read entry,6504425,
Read exit,6506766,2341
min,2341,
max,31983,
Set mark entry,6507056,
Set mark exit,6538408,31352
Close entry,6538612,
Close exit,6541502,2890
Read file block-by-block,File size is 128Kb,
Open entry,0,
Open exit,211255,211255
Block read entry,211524,
Block read exit,238402,26878
Block read entry,238706,
Block read exit,257585,18879
Block read entry,257887,
Block read exit,276765,18878
Block read entry,277067,
Block read exit,295942,18875
Block read entry,296244,
Block read exit,315126,18882
Block read entry,315425,
Block read exit,334297,18872
Block read entry,334599,
Block read exit,353478,18879
Block read entry,353777,
Block read exit,375047,21270
Block read entry,375833,
Block read exit,394231,18398
Block read entry,394533,
Block read exit,413465,18932
Block read entry,413764,
Block read exit,432158,18394
Block read entry,432460,
Block read exit,450854,18394
Block read entry,451153,
Block read exit,469554,18401
Block read entry,469853,
Block read exit,488158,18305
Block read entry,488460,
Block read exit,506861,18401
Block read entry,507160,
Block read exit,528761,21601
Block read entry,529060,
Block read exit,547448,18388
Block read entry,547747,
Block read exit,566679,18932
Block read entry,566978,
Block read exit,585526,18548
Block read entry,585825,
Block read exit,604380,18555
Block read entry,604679,
Block read exit,623383,18704
Block read entry,623682,
Block read exit,642622,18940
Block read entry,642921,
Block read exit,661476,18555
Block read entry,661775,
Block read exit,683530,21755
Block read entry,683829,
Block read exit,702380,18551
Block read entry,702679,
Block read exit,721388,18709
Block read entry,721687,
Block read exit,740299,18612
Block read entry,740598,
Block read exit,759320,18722
Block read entry,759619,
Block read exit,778337,18718
Block read entry,778636,
Block read exit,797354,18718
Block read entry,797653,
Block read exit,816268,18615
Block read entry,816567,
Block read exit,838325,21758
Block read entry,838624,
Block read exit,857346,18722
Block read entry,857645,
Block read exit,876360,18715
Block read entry,876659,
Block read exit,895438,18779
Block read entry,895737,
Block read exit,914623,18886
Block read entry,914922,
Block read exit,933804,18882
Block read entry,934103,
Block read exit,953134,19031
Block read entry,953433,
Block read exit,972312,18879
Block read entry,972611,
Block read exit,994266,21655
Block read entry,994565,
Block read exit,1012799,18234
Block read entry,1013101,
Block read exit,1031497,18396
Block read entry,1031796,
Block read exit,1050192,18396
Block read entry,1050491,
Block read exit,1068881,18390
Block read entry,1069180,
Block read exit,1087469,18289
Block read entry,1087768,
Block read exit,1106322,18554
Block read entry,1106621,
Block read exit,1125176,18555
Block read entry,1125475,
Block read exit,1146912,21437
Block read entry,1147211,
Block read exit,1165770,18559
Block read entry,1166069,
Block read exit,1184620,18551
Block read entry,1184919,
Block read exit,1203531,18612
Block read entry,1203830,
Block read exit,1222395,18565
Block read entry,1222694,
Block read exit,1241249,18555
Block read entry,1241548,
Block read exit,1260100,18552
Block read entry,1260399,
Block read exit,1278950,18551
Block read entry,1279249,
Block read exit,1301338,22089
Block read entry,1301637,
Block read exit,1320575,18938
Block read entry,1320874,
Block read exit,1339577,18703
Block read entry,1339876,
Block read exit,1358582,18706
Block read entry,1358881,
Block read exit,1377598,18717
Block read entry,1377897,
Block read exit,1396615,18718
Block read entry,1396914,
Block read exit,1416175,19261
Block read entry,1416474,
Block read exit,1435191,18717
Block read entry,1435490,
Block read exit,1457397,21907
Block read entry,1457696,
Block read exit,1476403,18707
Block read entry,1476702,
Block read exit,1495577,18875
Block read entry,1495876,
Block read exit,1514746,18870
Block read entry,1515045,
Block read exit,1533925,18880
Block read entry,1534224,
Block read exit,1553488,19264
Block read entry,1553787,
Block read exit,1572665,18878
Block read entry,1572964,
Block read exit,1591837,18873
Block read entry,1592136,
Block read exit,1613410,21274
Block read entry,1613709,
Block read exit,1631946,18237
Block read entry,1632245,
Block read exit,1650636,18391
Block read entry,1650935,
Block read exit,1669713,18778
Block read entry,1670012,
Block read exit,1688417,18405
Block read entry,1688716,
Block read exit,1707112,18396
Block read entry,1707411,
Block read exit,1725965,18554
Block read entry,1726264,
Block read exit,1744653,18389
Block read entry,1744952,
Block read exit,1767035,22083
Block read entry,1767334,
Block read exit,1785785,18451
Block read entry,1786084,
Block read exit,1804630,18546
Block read entry,1804929,
Block read exit,1823478,18549
Block read entry,1823777,
Block read exit,1842328,18551
Block read entry,1842627,
Block read exit,1861330,18703
Block read entry,1861629,
Block read exit,1880576,18947
Block read entry,1880875,
Block read exit,1899435,18560
Block read entry,1899734,
Block read exit,1921321,21587
Block read entry,1921620,
Block read exit,1940341,18721
Block read entry,1940640,
Block read exit,1959356,18716
Block read entry,1959655,
Block read exit,1978373,18718
Block read entry,1978672,
Block read exit,1997762,19090
Block read entry,1998061,
Block read exit,2016782,18721
Block read entry,2017081,
Block read exit,2035784,18703
Block read entry,2036083,
Block read exit,2054953,18870
Block read entry,2055252,
Block read exit,2077003,21751
Block read entry,2077302,
Block read exit,2096183,18881
Block read entry,2096482,
Block read exit,2115249,18767
Block read entry,2115548,
Block read exit,2134154,18606
Block read entry,2134453,
Block read exit,2153327,18874
Block read entry,2153626,
Block read exit,2172492,18866
Block read entry,2172791,
Block read exit,2191662,18871
Block read entry,2191961,
Block read exit,2210835,18874
Block read entry,2211134,
Block read exit,2233112,21978
Block read entry,2233411,
Block read exit,2252021,18610
Block read entry,2252320,
Block read exit,2270720,18400
Block read entry,2271019,
Block read exit,2289419,18400
Block read entry,2289718,
Block read exit,2308121,18403
Block read entry,2308420,
Block read exit,2326816,18396
Block read entry,2327115,
Block read exit,2345572,18457
Block read entry,2345871,
Block read exit,2364267,18396
Block read entry,2364566,
Block read exit,2386002,21436
Block read entry,2386301,
Block read exit,2404858,18557
Block read entry,2405157,
Block read exit,2423704,18547
Block read entry,2424003,
Block read exit,2442691,18688
Block read entry,2442990,
Block read exit,2461434,18444
Block read entry,2461733,
Block read exit,2480282,18549
Block read entry,2480581,
Block read exit,2499134,18553
Block read entry,2499433,
Block read exit,2517992,18559
Block read entry,2518291,
Block read exit,2540048,21757
Block read entry,2540347,
Block read exit,2558897,18550
Block read entry,2559196,
Block read exit,2578303,19107
Block read entry,2578602,
Block read exit,2597308,18706
